2025-01-03 00:00:00,"Instrument
Type","Description Line 3
[Instrument Type]",Manufacturer,Model,Scope of Supply,Q'TY,Number,New No,Unnamed: 9,2025-01-03 GK comment
,Speed Switch,Safety Switch 1,Hubner,TBD,Alpine,,,,,
,Speed Switch,Safety Switch 2,Hubner,TBD,Alpine,,,,,
,"Position Transmitter, Encoder ",Absolute Encoder 1,Hubner,TBD,Alpine,,,,,
,"Position Transmitter, Encoder ",Absolute Encoder 2,Hubner,TBD,Alpine,,,,,
deleted,E-Stop PB ,Push Button,SCHNEIDER/AB,9001KYG1Y/800H-FRXT6A1,QCA,,109,,Archived,"9001KYG1Y is deleted, Hammond 1437S16A is chosen"
,Pull Cord ,Pull Cord,Crouse Hinds,AFU0333‐66,QCA,,8,1.0,,
,Limit Switch ,Belt Rip Switch,Bulk Pro,BD-3X,QCA,,30,6.0,,
,Warning Horn,Horn,Federal Signal,350WB-120,QCA,,20,,,
,Warning Light,Light,Federal Signal,G-STR-120-D-R,QCA,,18,,,
,Speed Switch,Sensor,IFM,"DI602A, EVC491",QCA,,9,,,
,Limit Switch ,Misalignment Switch,Eaton,AFA20-S752,QCA,,7,5.0,,AFA20 datasheet is collected
,Inclinometer,Inclinometer,P+F,INX360D-F99-I2E2-5M,QCA,,21,,,
,E-Stop PB ,Push Button,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,QCA,,109,,,
,Limit Switch ,Limit Switch,CCC,TA-2-TPS,QCA,,11,4.0,,
,Push Button ,Push Button,,,QCA,,,,,
,Pilot Light ,Pilot Light,,,QCA,,,,,
,E-Stop PB ,Push Button 1,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,QCA,,109,,,
,E-Stop PB ,Push Button 2,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,QCA,,109,,,
,E-Stop PB ,Push Button 3,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,QCA,,109,,,
,Proximity Switch ,Proximity Switch,Turck,NI75U-CP80-FDZ30X2,QCA,,11,2.0,,Proximity Switch vs Limit Switch?
,Proximity Switch ,Proximity Switch,Allen Bradley,871TM-B15N30-H2,QCA,,4,3.0,,
,E-Stop PB ,Push Button 4,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,QCA,,109,,,
,"Position Transmitter, Encoder ",Encoder,Baumer,EAL580-TNH.5WEN.13160.A,QCA,,1B,,,
,Warning Light,Warning Light,Federal Signal,G-STR-120-D-R,QCA,,18,,,
,Limit Switch ,Proximity Switch,Turck,NI75U-CP80-FDZ30X2,QCA,,11,,,Proximity Switch vs Limit Switch?
,"Position Transmitter, Encoder ",Absolute Encoder,Baumer,EAL580-TNH.5WEN.13160.A,QCA,,1B,,,
,Push Button/Pilot Light,Push Button/Pilot Light,,,QCA,,,,,
,Push Button/Pilot Light,Pilot Light,,,QCA,,,,,
,Push Button/Pilot Light,Push Button,,,QCA,,,,,
,Selector Switch ,Selector Switch,,,QCA,,,,,
,Vibration Element,Element,,,VENDOR,,,,,
,"Position Transmitter, Encoder ",Position Transmitter,,,VENDOR,,,,,
,Pressure Transmitter,Pressure Transmitter,,,VENDOR,,,,,
,"Solenoid Valve, Control Valve ",Valve,,,VENDOR,,,,,
,Heater ,Oil Heater,,,VENDOR,,,,,
,Heater ,Space Heater,,,VENDOR,,,,,
,Temperature Element,RTD 1,,,VENDOR,,,,,
,Temperature Element,RTD 2,,,VENDOR,,,,,
,Temperature Element,RTD 1 ,,,VENDOR,,,,,
,Proximity Switch ,Proximity Switch,,,VENDOR,,,,,
,Temperature Transmitter,Temperature Transmitter,,,VENDOR,,,,,
,Level Switch Low Warning,Level Switch,,,VENDOR,,,,,
,Level Switch Low Trip,Level Switch,,,VENDOR,,,,,
,"Position Transmitter, Encoder ",Incremental Encoder 1,,,VENDOR,,,,,
,"Position Transmitter, Encoder ",Incremental Encoder 2,,,VENDOR,,,,,
,Heater ,,,,VENDOR,,,,,
,Proximity Switch ,Switch,,,VENDOR,,,,,
,Temperature Transmitter,Temperature Transmitter 1,,,VENDOR,,,,,
,Temperature Transmitter,Temperature Transmitter 2,,,VENDOR,,,,,
,Temp Switch High Trip ,Temperature Switch,,,VENDOR,,,,,
,Pressure Switch High Warning ,Pressure Switch,,,VENDOR,,,,,
,Limit Switch ,Limit Switch 1,,,VENDOR,,,,,
,Limit Switch ,Limit Switch 2,,,VENDOR,,,,,
,Weight Transmitter,Load Cell,,,VENDOR,,,,,
,Temperature Element,PTC Thermistor,,,VENDOR,,,,,
,,,,,VENDOR,,,,,
,Heater ,Heater,,,VENDOR,,,,,
,Limit Switch ,Limit Switch,,,VENDOR,,,,,
,"Solenoid Valve, Control Valve ",Solenoid Valve,,,VENDOR,,,,,
,"Position Transmitter, Encoder ",,,,VENDOR,,,,,
,"Position Transmitter, Encoder ",Absolute Encoder,,,VENDOR,,,,,
,"Position Transmitter, Encoder ",Incremental Encoder,,,VENDOR,,,,,
,Weight Transmitter,Load Pin,,,VENDOR,,,,,
,Level Switch Low Warning,,,,VENDOR,,,,,
,"Temp Switch High Warning (Temp SW, Thermoswitch, Klixon) ",,,,VENDOR,,,,,
,Filter Blocked Switch,Switch,,,VENDOR,,,,,
,Level Transmitter (Ultrasonic that give 4-20mA output) ,Transmitter,,,VENDOR,,,,,
,Pressure Transmitter,Transmitter,,,VENDOR,,,,,
,Level Switch High Trip,Switch,,,VENDOR,,,,,
,Limit Switch ,,,,VENDOR,,,,,
,Relay ,Power On Relay,,,VENDOR,,,,,
,Relay ,Lock Out Relay,,,VENDOR,,,,,
,Relay ,Fan ON,,,VENDOR,,,,,
,Relay ,Stage 1 Cooling,,,VENDOR,,,,,
,Relay ,Stage 2 Cooling,,,VENDOR,,,,,
,Relay ,Stage 1 Heat,,,VENDOR,,,,,
,Relay ,Stage 2 Heat,,,VENDOR,,,,,
,Relay ,Supervision,,,VENDOR,,,,,
,Relay ,Relay,,,VENDOR,,,,,
,Level Transmitter (Ultrasonic that give 4-20mA output) ,Level Transmitter,,,VENDOR,,,,,
,Pressure Switch High Warning ,Switch 1,,,VENDOR,,,,,
,Pressure Switch High Warning ,Switch 2,,,VENDOR,,,,,
,Pressure Switch High Warning ,Switch 3,,,VENDOR,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"Solenoid Valve, Control Valve ",Valve,,,,,,,,
,Level Switch Low Warning,Level Switch,,,,,,,,
,Level Switch Low Trip,Level Switch,,,,,,,,
,Level Transmitter (Ultrasonic that give 4-20mA output) ,Transmitter,,,,,,,,
,Temperature Transmitter,Transmitter,,,,,,,,
,Pressure Switch,Switch,,,,,,,,
,Oil Sensor,Switch,,,,,,,,
,Valve Switch,Switch,,,,,,,,
,Level Switch Low Trip,,,,,,,,,
,"Solenoid Valve, Control Valve ",Solenoid Valve,,,,,,,,
,"Proportional Valve, Analog Controlled Valve ",Proportional Valve,,,,,,,,
,Pressure Transmitter,Pressure Transducer,,,,,,,,
,"Position Transmitter, Encoder ",Linear Displacement Transducer,,,,,,,,
,Limit Switch ,Cam Switch,,,,,,,,
,Limit Switch ,Limit Switch,,,,,,,,
,Relay ,Trouble,,,,,,,,
,Relay ,Alarm,,,,,,,,
,Temperature Transmitter with Local Indicator ,Temperature Transmitter,,,,,,,,
,,,,,,,,,,
Manual input (Vendor),,,,,,,,,,
Rail Clamp,Rail Clamp Limit Switch,Inductive Sensor,ifm,IGS001 / E18209,BrelX,3.0,111,,,"2025-01-13 Current Inst List does not match to Vendor Documents. 3 Inductive sensors exist.
Vendor drawing shows E18209 Cable with a note saying 'with IGT001'. Need a confirmation IGS001 or IGT001"
,,,,,,,,,,
Potash Spout,Winch Limit Switch,Limit Switch,Stromag,LightCam?,Cleveland Cascades,1.0,121-01,,,Specific model number needed
Potash Spout,Ultimate High Limit Switch,Limit Switch,IDEM Safety,HLM-SS-AL,Cleveland Cascades,1.0,121-02,,,Specific model number needed
Potash Spout,Slack Rope Limit Switch,Limit Switch,IDEM Safety,HLM-SS-RP,Cleveland Cascades,1.0,121-03,,,Specific model number needed
Potash Spout,Collision Detection Limit Switch,Limit Switch,Conveyor Components Co.,CT-200SGC with CT-600S (2) / CT-105C,Cleveland Cascades,1.0,121-04,,,
Potash Spout,Material Detection Limit Switch,Limit Switch,Endress+Hauser,FTM50-CGG2A4A62AA,Cleveland Cascades,3.0,121-05,,,
Potash Spout,Load Cell,Load Cell,Mettler Toledo,SLS510,Cleveland Cascades,1.0,122,,,
Potash Spout,Strain Gauge Converter,Strain Gauge Converter,P+F,KFD2-WAC2-1.D,Cleveland Cascades,1.0,123,,,
,,,,,,,,,,
Lubrication,Lub level sensor,Level Sensor,,,BIJUR DELIMON,2.0,,,,Vendor drawing does not specify what model is
Lubrication,Lub Solenoid Valve,Solenoid Valve,,,BIJUR DELIMON,6.0,,,,Vendor drawing does not specify what model is
Lubrication,PTC Pump Motor,PTC,,,BIJUR DELIMON,2.0,,,,Vendor drawing does not specify what model is
Lubrication,Space Heater,Space Heater,,,BIJUR DELIMON,2.0,,,,Vendor drawing does not specify what model is
Lubrication,Pressure Switch,Pressure Switch,ifm,PN3560,BIJUR DELIMON,8.0,131,,,
,,,,,,,,,,
,,,,,,,,,,
Hydraulic,Low Oil Level Switch,,GEMS,LS1800-01801,Janox Fluid Power,,141-28,,,
Hydraulic,Oil Level Sensor,,IFM,LR3000 + E43221,Janox Fluid Power,,,,,
Hydraulic,Temperature Transducer,,IFM,TA2333 + UT0009,Janox Fluid Power,,,,,
Hydraulic,Pressure Switch,,STAUFF,HIM-VE-B-B5.0-X,Janox Fluid Power,,141-20,,,
Hydraulic,Pressure Switch,,MP FILTRI,SMA-4-4S-C-HC,Janox Fluid Power,,141-34,,,
Hydraulic,Suction Ball Valve,,DMIC,BVAL-1000S-4321-IEZN,Janox Fluid Power,,,,,
Hydraulic,Oil in Tray Sensor,,IFM,KI5083,Janox Fluid Power,,141-61,,,
Hydraulic,Proportional Valve + Amplifier,,NACHI,ESD-G01-C6S-20-A-E12 + EDA-PD1-NWZ-D-D2-11,Janox Fluid Power,,141-35,,,
Hydraulic,Directional Valve,,NACHI,SA-G01-C6-C115-E31,Janox Fluid Power,,,,,
Hydraulic,Solenoid Valve,,DONALDSON,TPP-1215-04S,Janox Fluid Power,,,,,
Hydraulic,Pressure Transducer,,IFM,PN2169,Janox Fluid Power,,141-47,,,
Hydraulic,Pressure Transducer,,IFM,PT5401,Janox Fluid Power,,,,,
Hydraulic,Lift Arm Cyl Temposonic,,ROTA,LJB 0650 M 0.3A W1 4430,Janox Fluid Power,,,,,
Hydraulic,Clamp Cylinder Temposonic,,ROTA,LJB 0090 M 0.3A W1 4421,Janox Fluid Power,,,,,
Hydraulic,Unloader Valve,,NACHI,SA-G01-C7Y-C115-E13,Janox Fluid Power,,,,,
Hydraulic,Dump Valve,,VICKERS,SV3-10-C-0-115AG,Janox Fluid Power,,,,,
Hydraulic,Tempo ?,,TEMPOSONIC,"LJE 3000 M 0.3A M XXXX?
RH5-T-A-3500M-01-D60-1-A-0-0?",Janox Fluid Power,,,,,
